name,category,lat,lng,address,phone,place_url
성산일출봉,자연,33.4583,126.9422,제주특별자치도 서귀포시 성산읍 일출로 284-12,064-783-0959,https://place.map.kakao.com/8137444
한라산,자연,33.3617,126.5292,제주특별자치도 제주시 1100로 2070-61,064-713-9950,https://place.map.kakao.com/8153574
협재해수욕장,자연,33.3943,126.2397,제주특별자치도 제주시 한림읍 협재리 2497,064-796-2404,https://place.map.kakao.com/8143842
만장굴,자연,33.5287,126.7718,제주특별자치도 제주시 구좌읍 만장굴길 182,064-710-7903,https://place.map.kakao.com/8152398
천지연폭포,자연,33.2462,126.5619,제주특별자치도 서귀포시 천지동 667-7,064-760-6831,https://place.map.kakao.com/8162388
정방폭포,자연,33.2395,126.5711,제주특별자치도 서귀포시 동홍동 278,064-733-1530,https://place.map.kakao.com/8162389
섭지코지,자연,33.4280,126.9294,제주특별자치도 서귀포시 성산읍 고성리 127,064-782-2810,https://place.map.kakao.com/8130741
용두암,자연,33.5162,126.5076,제주특별자치도 제주시 용담2동 용연로 15,,https://place.map.kakao.com/8158671
산방산,자연,33.2356,126.3138,제주특별자치도 서귀포시 안덕면 산방로 218-10,064-794-2714,https://place.map.kakao.com/8168372
우도,자연,33.5047,126.9518,제주특별자치도 제주시 우도면 우도해안길,064-728-3989,https://place.map.kakao.com/8112874
제주흑돼지거리,맛집,33.4960,126.5311,제주특별자치도 제주시 연동 324-7,,https://place.map.kakao.com/8110001
도두해녀의집,맛집,33.5215,126.4681,제주특별자치도 제주시 도두1동 도두항길 16,064-745-4080,https://place.map.kakao.com/8120002
올레국수,맛집,33.5018,126.5208,제주특별자치도 제주시 삼도2동 서광로11길 40,064-742-7355,https://place.map.kakao.com/8120003
제주은희네해장국,맛집,33.4998,126.5201,제주특별자치도 제주시 일도2동 중앙로 479,064-757-3393,https://place.map.kakao.com/8120004
흑돼지명가,맛집,33.2575,126.4073,제주특별자치도 서귀포시 중앙로 40,064-762-0900,https://place.map.kakao.com/8130005
서귀포매일올레시장,맛집,33.2513,126.5584,제주특별자치도 서귀포시 서귀동 340,064-762-1949,https://place.map.kakao.com/8130006
성산일출봉매표소식당,맛집,33.4606,126.9409,제주특별자치도 서귀포시 성산읍 성산리 78,,https://place.map.kakao.com/8130007
애월한담해변카페,맛집,33.4671,126.3225,제주특별자치도 제주시 애월읍 애월해안로 870,064-799-3500,https://place.map.kakao.com/8140008
제주민속촌,문화,33.3692,126.8437,제주특별자치도 서귀포시 표선면 민속해안로 631-34,064-787-4501,https://place.map.kakao.com/8160001
국립제주박물관,문화,33.4998,126.4862,제주특별자치도 제주시 일주동로 17,064-720-8000,https://place.map.kakao.com/8160002
제주돌문화공원,문화,33.4558,126.7447,제주특별자치도 제주시 조천읍 남조로 2023,064-710-7731,https://place.map.kakao.com/8160003
추사관,문화,33.2451,126.3088,제주특별자치도 서귀포시 대정읍 추사로 44,064-710-6801,https://place.map.kakao.com/8160004
제주항공우주박물관,문화,33.2944,126.2781,제주특별자치도 서귀포시 안덕면 녹차분재로 218,064-800-2000,https://place.map.kakao.com/8160005
이중섭미술관,문화,33.2478,126.5614,제주특별자치도 서귀포시 이중섭로 27-3,064-760-3567,https://place.map.kakao.com/8160006
사려니숲길,자연,33.3814,126.6427,제주특별자치도 제주시 조천읍 교래리 산 137-1,064-900-8800,https://place.map.kakao.com/8150007
비자림,자연,33.4736,126.8028,제주특별자치도 제주시 구좌읍 비자숲길 55,064-710-7912,https://place.map.kakao.com/8150008
한림공원,자연,33.4090,126.2567,제주특별자치도 제주시 한림읍 한림로 300,064-796-0001,https://place.map.kakao.com/8150009
카멜리아힐,자연,33.2827,126.3401,제주특별자치도 서귀포시 안덕면 병악로 166,064-792-0088,https://place.map.kakao.com/8150010
제주러브랜드,문화,33.4492,126.4387,제주특별자치도 제주시 1100로 2894-72,064-712-6988,https://place.map.kakao.com/8160011
테디베어뮤지엄,문화,33.2527,126.4109,제주특별자치도 서귀포시 중문관광로 110번길 31,064-738-7600,https://place.map.kakao.com/8160012
